|02:17:05 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> Starting dependent services for site: kayxlavcomms...
|02:17:05 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log |SEVERE|> Creating thread: 1: cmd /c start_mongo_server.cmd
|02:17:05 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log |SEVERE|> Creating thread: 2: cmd /c start_site_http.cmd
|02:17:05 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> 
|02:17:05 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> C:\Users\Mobolaji.Aina\Documents\nodejs\kayxlavcomms>C:\Progra~1\MongoDB\Server\3.4\bin\mongod.exe --dbpath ..\..\..\..\..\MongoDB\datafiles\ --logpath=..\..\..\..\..\MongoDB\logs\mongolog.log  -v --logRotate rename  --logappend -f  ..\..\..\..\..\MongoDB\mongod.conf 
|02:17:05 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> 2018-09-02T01:17:05.983+0100 I CONTROL  [main] ** WARNING: --rest is specified without --httpinterface,
|02:17:05 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> 
|02:17:05 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> 2018-09-02T01:17:05.987+0100 I CONTROL  [main] **          enabling http interface
|02:17:05 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> 
|02:17:05 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> 2018-09-02T01:17:05.990+0100 F CONTROL  [main] Failed global initialization: FileNotOpen: Failed to open "C:\Users\Mobolaji.Aina\Documents\nodejs\kayxlavcomms\..\..\..\..\..\MongoDB\logs\mongolog.log"
|02:17:05 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> 
|02:17:06 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> 
|02:17:06 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> C:\Users\Mobolaji.Aina\Documents\nodejs\kayxlavcomms>pause
|02:17:27 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> Starting dependent services for site: kayxlavcomms...
|02:17:27 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log |SEVERE|> Creating thread: 1: cmd /c start_mongo_server.cmd
|02:17:27 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log |SEVERE|> Creating thread: 2: cmd /c start_site_http.cmd
|02:17:28 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> 
|02:17:28 02, Sep,2018 | NodeSiteService | nodesiteservice.NodeSiteServiceLogger | log | INFO|> C:\Users\Mobolaji.Aina\Documents\nodejs\kayxlavcomms>C:\Progra~1\MongoDB\Server\3.4\bin\mongod.exe --dbpath ..\..\..\..\..\MongoDB\datafiles\ --logpath=..\..\..\..\..\MongoDB\logs\mongolog.log  -v --logRotate rename  --logappend -f  ..\..\..\..\..\MongoDB\mongod.conf 
